3.9,2,1
3.86,2,1
3.8,2,1
4.18,2.28,1
4.4,2.34,1
4.35,2.27,1
10.23,5,1
10.18,5,1
10.06,5,1
20.88,10,1
20.92,10,1
21.03,10,1
29.66,15,1
30.45,15,1
31.28,15,1
29.66,20,1
31.47,20,1
32.09,20,1
24.38,25,1
32.83,25,1
37.25,25,1
30.37,30,1
34.27,30,1
34.88,30,1
5.78,2,0
5.82,2,0
5.89,2,0
9.9,4.07,0
9.5,4.1,0
9.6,4.07,0
22.61,10,0
22.82,10,0
22.93,10,0
34.41,15,0
34.22,15,0
34.48,15,0
47.63,20,0
48.04,20,0
48.19,20,0
69.2,25,0
69.54,25,0
69.31,25,0
87.62,30,0
87.55,30,0
87.27,30,0
